CONTRA,RED
707,594
220,595
507,595
534,595
635,595
779,595
208,596
344,596
364,596
404,596
439,596
457,596
586,596
590,596
744,596
377,597
418,597
425,597
606,597
634,597
668,597
752,597
819,597
246,598
349,598
520,598
523,598
542,598
768,598
812,598
294,599
357,599
387,599
548,599
555,599
581,599
593,599
614,599
645,599
649,599
736,599
461,600
563,600
689,600
784,600
217,601
224,601
585,601
656,601
763,601
248,602
343,602
511,602
591,602
625,602
281,603
373,603
446,603
467,603
535,603
544,603
605,603
630,603
706,603
748,603
314,604
333,604
396,604
425,604
582,604
722,604
172,605
260,605
378,605
554,605
562,605
611,605
225,606
359,606
418,606
180,607
203,607
292,607
404,607
523,607
695,607
746,607
241,608
313,608
436,608
590,608
617,608
671,608
163,609
245,609
284,609
335,609
347,609
654,609
704,609
323,610
419,610
421,610
441,610
523,610
559,610
613,610
642,610
179,611
367,611
517,611
680,611
293,612
309,612
329,612
413,612
812,612
241,613
268,613
418,613
437,613
555,613
565,613
252,614
349,614
694,614
752,614
232,615
246,615
304,615
321,615
361,615
436,615
461,615
545,615
592,615
636,615
241,616
512,616
583,616
739,616
338,617
559,617
697,617
296,618
573,618
614,618
706,618
179,619
286,619
381,619
548,619
604,619
625,619
720,619
764,619
807,619
253,620
485,620
543,620
641,620
705,620
361,621
398,621
409,621
481,621
494,621
675,621
205,622
328,622
334,622
351,622
433,622
454,622
528,622
587,622
568,623
619,623
156,624
221,624
366,624
615,624
649,624
682,624
766,624
267,625
306,625
420,625
515,625
543,625
557,625
575,625
594,625
754,625
317,626
379,626
744,626
168,627
240,627
660,627
738,627
790,627
153,628
186,628
297,628
584,628
626,628
171,629
205,629
292,629
371,629
161,630
310,630
350,630
367,630
522,630
532,630
650,630
228,631
250,631
327,631
361,631
392,631
408,631
538,631
556,631
772,631
195,632
347,632
419,632
449,632
598,632
602,632
221,633
234,633
551,633
589,633
625,633
763,633
803,633
230,634
652,634
794,634
155,635
186,635
211,635
275,635
294,635
433,635
544,635
565,635
316,636
415,636
442,636
459,636
532,636
172,637
392,637
420,637
463,637
685,637
153,638
237,638
285,638
362,638
397,638
412,638
523,638
554,638
453,639
473,639
500,639
528,639
597,639
707,639
763,639
157,640
226,640
246,640
626,640
787,640
338,641
343,641
536,641
150,642
197,642
233,642
434,642
486,642
713,642
766,642
152,643
347,643
521,643
564,643
634,643
662,643
209,644
254,644
271,644
299,644
492,644
558,644
675,644
179,645
241,645
459,645
576,645
707,645
788,645
157,646
161,646
184,646
228,646
319,646
383,646
393,646
461,646
483,646
506,646
599,646
609,646
697,646
732,646
219,647
444,647
526,647
603,647
189,648
195,648
212,648
436,648
510,648
588,648
623,648
755,648
259,649
292,649
409,649
544,649
631,649
727,649
771,649
325,650
403,650
523,650
742,650
793,650
315,651
476,651
549,651
701,651
439,652
500,652
227,653
368,653
563,653
573,653
586,653
645,653
691,653
788,653
348,654
390,654
429,654
483,654
609,654
625,654
665,654
755,654
162,655
527,655
582,655
219,656
412,656
603,656
803,656
206,657
261,657
421,657
556,657
714,657
155,658
427,658
440,658
474,658
533,658
542,658
777,658
